"Month","VBLTX","FMAGX","SBUX"
"Oct 2005",-0.0195406468854893,-0.0129291416706714,0.121281054557927
"Nov 2005",0.00766378263175871,0.0329410354705018,0.0739311168051753
"Dec 2005",0.0222052670703099,0.0195884993963453,-0.0145552917742293
"Jan 2006",-0.00922217196596131,0.0466224371021444,0.0547860247925134
"Feb 2006",0.0107653808305956,-0.0149970661337155,0.136051765895549
"Mar 2006",-0.0362591692370364,0.0264095277747822,0.0354332116638281
"Apr 2006",-0.0187468700961986,0.0189678468125725,-0.00961290994920372
"May 2006",-0.00171078590968365,-0.0500410180444923,-0.0444395332154115
"Jun 2006",0.00369753576282728,-0.00739190828411918,0.0575010415322987
"Jul 2006",0.0200026285637642,-0.0317744262296378,-0.0981478161374625
"Aug 2006",0.029367489415991,0.0237523965010253,-0.0987927168297302
"Sep 2006",0.016548166494359,0.0110990577779733,0.0935202862277129
"Oct 2006",0.0113415475316236,0.0288250097069662,0.103155467637613
"Nov 2006",0.0213296279604973,0.0256494937097966,-0.0673857913466134
"Dec 2006",-0.0203204504945769,-0.00534773404977607,0.00367684724520023
"Jan 2007",-0.00586611731858122,0.0283043486590202,-0.0136442938442807
"Feb 2007",0.0308078787243791,-0.0166433171756291,-0.12287603685203
"Mar 2007",-0.0169424990281037,0.00824677266535545,0.0147769708467851
"Apr 2007",0.0105445523356582,0.0470574743586862,-0.010901059934767
"May 2007",-0.0172894531687409,0.0398804766723755,-0.073909575662698
"Jun 2007",-0.0106205025624813,-0.00425528768858108,-0.0934375736628197
"Jul 2007",0.0118429916939848,-0.0183985380489649,0.0166292900105258
"Aug 2007",0.0170147145346256,0.0115521488931218,0.0320882575157677
"Sep 2007",0.00538484947351492,0.0601951653019706,-0.0502431038937021
"Oct 2007",0.0176220864131369,0.0518944996666271,0.0181548463779344
"Nov 2007",0.0240525649012486,-0.0386413243791335,-0.131605777127391
"Dec 2007",-0.00234284919384065,0.00344463219541691,-0.133348160473892
"Jan 2008",0.0121575737309727,-0.0937454104050079,-0.0792694574751578
"Feb 2008",-0.00172142850042389,-0.0161589031252918,-0.0504307757412144
"Mar 2008",0.00191879692211705,-0.0221215461709265,-0.0270592015761038
"Apr 2008",-0.00071551736774822,0.0631242928042539,-0.0753395886285388
"May 2008",-0.0215988417412154,0.0301913468788282,0.114010715986236
"Jun 2008",0.00717561409056078,-0.0874795667915667,-0.144666850064939
"Jul 2008",-0.00766079269560693,-0.0401353781000902,-0.0690381783459515
"Aug 2008",0.012722165686168,-0.000780298822316894,0.0575365707276829
"Sep 2008",-0.0417080092351454,-0.198057557343581,-0.0453577760753048
"Oct 2008",-0.0751287184630516,-0.243370452948031,-0.124446002041409
"Nov 2008",0.0905849995283177,-0.120238999691324,-0.385483459872557
"Dec 2008",0.107893808453775,0.0478107944714488,0.0576559892125015
"Jan 2009",-0.0652802516218975,-0.0784449300712406,-0.00211640732128848
"Feb 2009",-0.0174186964623901,-0.0789819313423008,-0.0312020473640493
"Mar 2009",0.0184302839912132,0.130239895107941,0.194091689027795
"Apr 2009",-0.0126706180316538,0.128111104218865,0.26354071397228
"May 2009",0.0130718047642064,0.0604869441042868,-0.00485278151694279
"Jun 2009",0.0278288851047019,-0.0138500585329067,-0.0353642804103973
"Jul 2009",0.0360625137464456,0.084007126469289,0.242395473993458
"Aug 2009",0.0205714851471845,0.021428729251542,0.0703478467319059
"Sep 2009",0.025938880409782,0.0517257152642143,0.0838027447037044
"Oct 2009",-0.00901707224063841,-0.0558045206571078,-0.0843295351109958
"Nov 2009",0.0150335322492854,0.0530628251654766,0.14310092057587
"Dec 2009",-0.0354425547154262,0.0426062710169921,0.0516128836568135
"Jan 2010",0.0223753589918858,-0.0446709289789715,-0.0566483313603801
"Feb 2010",-0.00286383758108455,0.0296330364422772,0.0501222521217537
"Mar 2010",-0.00407486063338469,0.0641833239575287,0.0576675482087956
"Apr 2010",0.0269979827921603,0.0149041656654041,0.0722198755689258
"May 2010",0.0143187884931484,-0.0844723343517377,-0.00347016465065186
"Jun 2010",0.0407433955283363,-0.0668832385360916,-0.0633804330153445
"Jul 2010",0.00964582294497829,0.049405025280655,0.0223813863019888
"Aug 2010",0.0559122765584288,-0.0610291075041594,-0.0729883496262285
"Sep 2010",-0.0115711552042184,0.102847034499423,0.106013075531799
